,City,Cloud %,Country,Humidity,Latatude,Longitute,Maximum Temperature,Wind
451,poronaysk,100,RU,86,49.22,143.1,62.87,6.71
452,yarada,75,IN,70,17.65,83.27,86.0,16.11
453,yelkhovka,75,RU,93,53.87,50.29,50.0,8.95
454,calderitas,6,MX,93,18.55,-88.26,75.29,2.24
455,san vicente,91,EC,87,-0.59,-80.41,71.69,13.87
456,nepa nagar,100,IN,91,21.47,76.4,73.13,14.16
457,voskresenskoye,14,RU,68,56.84,45.43,55.13,9.6
458,rosignol,51,GY,96,6.28,-57.53,73.67,1.1
459,xuddur,100,SO,54,4.12,43.89,78.17,16.44
460,uglegorsk,92,RU,82,49.08,142.06,68.27,2.3
461,dauphin,1,CA,100,51.15,-100.04,60.8,4.7
462,east wenatchee bench,1,US,31,47.43,-120.28,78.8,14.99
463,antsohihy,78,MG,61,-14.88,47.99,80.51,17.58
464,tijara,87,IN,6,27.94,76.85,88.0,6.82
465,saint pete beach,40,US,83,27.73,-82.74,77.0,4.7
466,puerto escondido,5,MX,74,15.86,-97.07,82.4,3.42
467,teguldet,59,RU,44,57.31,88.17,79.79,8.59
468,evensk,92,RU,58,61.92,159.24,59.27,4.16
469,ilulissat,49,GL,57,69.22,-51.1,48.2,4.7
470,moerai,0,PF,80,-22.43,-151.33,70.97,14.25
471,moreno,0,AR,87,-34.64,-58.79,55.99,5.82
472,chapais,1,CA,87,49.78,-74.86,51.8,4.7
473,mantua,0,IT,77,45.16,10.79,73.99,3.36
474,rio gallegos,75,AR,100,-51.62,-69.22,33.8,3.36
475,hollabrunn,0,AT,93,48.56,16.08,69.01,11.41
476,la asuncion,0,AR,10,-26.05,-65.39,58.91,8.37
477,belmonte,0,PT,64,40.36,-7.35,64.99,0.45
478,egvekinot,54,RU,47,66.32,-179.17,52.97,11.14
479,hualmay,13,PE,86,-11.1,-77.61,60.17,12.06
480,kinablangan,100,PH,85,7.69,126.55,81.05,3.11
481,sur,26,OM,40,22.57,59.53,95.63,4.0
482,mandalgovi,23,MN,23,45.76,106.27,81.05,7.02
483,hobyo,98,SO,55,5.35,48.53,83.93,19.28
484,bisira,90,PA,90,8.52,-81.71,70.97,3.6
485,roros,90,NO,100,62.57,11.38,37.4,2.24
486,lagoa,0,PT,46,37.14,-8.45,71.6,5.82
487,axim,100,GH,87,4.87,-2.24,75.29,9.06
488,port macquarie,40,AU,59,-31.43,152.91,68.0,9.17
489,crossville,1,US,88,35.95,-85.03,72.0,1.77
490,veraval,75,FR,82,49.65,0.71,62.6,5.82
491,yanliang,0,CN,49,34.66,109.22,91.4,2.24
492,passy,61,FR,72,45.92,6.69,60.01,2.24
493,flinders,20,AU,55,-34.58,150.85,66.99,11.41
494,seymchan,96,RU,55,62.93,152.39,55.13,7.07
495,ixtapa,75,MX,66,20.71,-105.21,84.2,3.8
496,kavieng,9,PG,72,-2.57,150.8,83.21,6.42
497,alice springs,0,AU,26,-23.7,133.88,62.6,13.87
498,ciudad bolivar,38,VE,93,8.12,-63.55,74.57,7.16
499,santa comba,20,ES,93,43.03,-8.81,64.99,3.36
500,margate,40,AU,30,-43.03,147.26,55.4,12.75
501,tibirita,45,CO,96,5.05,-73.5,50.27,1.52
502,hollola,16,FI,63,60.99,25.5,54.0,5.39
503,safford,1,US,69,32.83,-109.71,78.8,2.73
504,motala,100,IN,86,20.68,76.21,74.39,13.8
505,komsomolets,0,RU,69,52.77,41.29,56.03,14.97
506,juneau,75,US,77,58.3,-134.42,63.0,12.75
507,altona,1,US,72,41.11,-90.16,66.2,3.36
508,shimoda,20,JP,84,34.7,138.93,91.99,17.22
509,port augusta,90,AU,58,-32.49,137.76,55.4,12.75
510,xai-xai,10,MZ,78,-25.04,33.64,70.79,10.11
511,mende,8,FR,61,44.52,3.5,53.51,3.96
512,maceio,75,BR,88,-9.67,-35.74,68.0,4.7
513,angoche,68,MZ,78,-16.23,39.91,76.19,2.33
514,churapcha,77,RU,23,62.0,132.43,70.25,5.55
515,belchatow,75,PL,88,51.37,19.36,63.0,1.12
516,vila,40,IT,94,45.18,8.4,73.99,2.24
517,ucluelet,100,CA,95,48.94,-125.55,62.01,2.66
518,osoyoos,20,CA,38,49.03,-119.47,80.6,6.93
519,hovd,0,NO,76,63.83,10.7,60.01,3.36
520,benavente,0,ES,81,42.0,-5.67,51.8,2.24
521,ende,11,ID,71,-8.84,121.65,78.17,12.08
522,hamilton,20,CA,77,43.26,-79.87,68.0,5.82
523,vanimo,39,PG,70,-2.67,141.3,82.67,7.0
524,uthal,79,PK,58,25.81,66.62,90.41,7.63
525,zarasai,91,LT,71,55.73,26.25,58.01,3.58
526,rockhampton,49,AU,40,-23.38,150.51,73.4,9.17
527,muscatine,1,US,88,41.42,-91.04,69.01,6.17
528,zhezkazgan,90,KZ,17,47.8,67.71,91.4,11.18
529,bartica,20,GY,100,6.41,-58.62,75.2,2.24
530,ratangarh,65,IN,50,28.07,74.62,93.47,4.05
531,seoul,90,KR,88,37.57,126.98,89.6,3.36
532,cheney,1,US,35,47.49,-117.58,73.4,9.17
533,buinsk,100,RU,93,54.97,48.29,48.47,16.93
534,bonavista,40,CA,78,48.65,-53.11,55.0,1.99
535,carmen,90,PH,70,7.36,125.71,86.0,8.05
536,slave lake,90,CA,87,55.28,-114.77,59.0,5.82
537,amboasary,0,MG,88,-25.04,46.38,64.4,5.03
538,abalak,20,NE,52,15.46,6.28,85.37,13.18
539,powell,75,US,83,40.16,-83.08,72.0,3.36
540,turukhansk,64,RU,42,65.8,87.96,67.91,10.94
541,ode,100,NG,94,8.45,4.32,70.97,7.36
542,gohana,100,IN,61,29.14,76.7,87.71,5.88
543,cabra,0,ES,73,37.47,-4.43,73.4,4.7
544,marzuq,100,YE,52,14.4,46.47,77.09,2.42
545,ust-kuyga,9,RU,41,70.0,135.55,59.63,11.79
546,altamont,1,CA,100,49.4,-98.5,69.01,4.7
547,luanda,75,AO,94,-8.83,13.24,68.0,3.36
548,daugai,90,LT,87,54.36,24.35,55.4,3.36
549,fort nelson,75,CA,93,58.81,-122.69,53.6,3.36
